timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,failureMessage,bytes,Latency,IdleTime,Connect
1608072147852,1290,Home,500,,text,false,,7107,1286,0,1
1608072147155,1987,Home,500,,text,false,,7107,1983,0,1
1608072147353,1789,Home,500,,text,false,,7107,1785,0,0
1608072147451,1697,Home,200,,text,true,,8822,1696,0,0
1608072147109,2038,Home,200,,text,true,,8822,2037,0,13
1608072147550,1598,Home,200,,text,true,,8822,1597,0,1
1608072147651,1497,Home,200,,text,true,,8822,1496,0,1
1608072147253,1895,Home,200,,text,true,,8822,1894,0,1
1608072147951,1197,Home,200,,text,true,,8822,1196,0,1
1608072147751,1397,Home,200,,text,true,,8822,1396,0,1
1608072149153,879,Login,200,,text,true,,10105,834,0,0
1608072149153,879,Login,200,,text,true,,10104,834,0,2
1608072150033,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,text,false,,1226,0,0,0
1608072150036,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608072149153,884,Login,200,,text,true,,10104,832,0,0
1608072149152,893,Login,200,,text,true,,10104,832,0,3
1608072149153,893,Login,200,,text,true,,10105,834,0,0
1608072150047,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,text,false,,1226,0,0,0
1608072150048,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608072150034,17,List Products,500,,text,false,,6680,16,0,0
1608072150051,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608072149153,900,Login,200,,text,true,,10104,834,0,0
1608072149152,905,Login,200,,text,true,,10104,835,0,3
1608072150058,0,List Products,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=1,text,false,,1226,0,0,0
1608072149155,905,Login,200,,text,true,,10105,832,0,0
1608072150060,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608072149153,909,Login,200,,text,true,,10104,834,0,0
1608072149153,909,Login,200,,text,true,,10104,832,0,0
1608072150053,11,List Products,500,,text,false,,6680,11,0,0
1608072150065,0,Look at Product,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 66: http://localhost:30080/tools.descartes.teastore.webui/product?id=${product_id},text,false,,1214,0,0,0
1608072150049,17,Add Product to Cart,500,,text,false,,6390,17,0,0
1608072150061,5,Add Product to Cart,500,,text,false,,6390,5,0,0
1608072150037,29,Add Product to Cart,500,,text,false,,6390,29,0,0
1608072150067,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},text,false,,1235,0,0,0
